"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18","2,326.13","2,419.63","2,479.56","2,296.39","9.45B","-4.00%"
"May 18","2,423.01","2,515.75","2,516.57","2,399.58","12.82B","-3.67%"
"Apr 18","2,515.38","2,454.72","2,515.38","2,405.91","10.44B","2.84%"
"Mar 18","2,445.85","2,406.57","2,508.71","2,374.80","8.08B","0.76%"
"Feb 18","2,427.36","2,578.91","2,583.74","2,346.73","7.28M","-5.42%"
"Jan 18","2,566.46","2,474.86","2,607.10","2,465.94","8.25B","4.01%"
"Dec 17","2,467.49","2,488.92","2,514.61","2,411.48","5.75B","-0.36%"
"Nov 17","2,476.37","2,535.97","2,561.63","2,474.28","7.47B","-1.86%"
"Oct 17","2,523.43","2,425.63","2,528.32","2,421.10","5.05B","5.39%"
"Sep 17","2,394.47","2,367.45","2,429.12","2,314.31","5.84M","1.32%"
"Aug 17","2,363.19","2,397.12","2,434.47","2,310.20","5.72M","-1.64%"
"Jul 17","2,402.71","2,397.66","2,453.17","2,372.83","6.23M","0.46%"
"Jun 17","2,391.79","2,348.31","2,402.80","2,335.63","7.48M","1.89%"
"May 17","2,347.38","2,213.61","2,371.67","2,212.87","7.03M","6.44%"
"Apr 17","2,205.44","2,166.04","2,217.04","2,117.82","7.73M","2.09%"
"Mar 17","2,160.23","2,105.19","2,182.42","2,067.68","8.87M","3.28%"
"Feb 17","2,091.64","2,075.31","2,108.99","2,052.29","7.13M","1.16%"
"Jan 17","2,067.57","2,022.23","2,091.02","2,015.68","8.43M","2.03%"
"Dec 16","2,026.46","1,987.48","2,053.46","1,960.65","6.04M","2.17%"
"Nov 16","1,983.48","2,003.41","2,015.23","1,931.07","6.61M","-1.23%"
"Oct 16","2,008.19","2,056.94","2,070.43","2,002.29","6.64M","-1.73%"
"Sep 16","2,043.63","2,022.96","2,073.89","1,991.47","8.85M","0.44%"
"Aug 16","2,034.65","2,024.71","2,063.09","1,993.00","7.81M","0.92%"
"Jul 16","2,016.19","1,977.36","2,030.69","1,944.33","8.07M","2.33%"
"Jun 16","1,970.35","1,976.87","2,035.27","1,892.75","9.82M","-0.66%"
"May 16","1,983.40","1,991.84","1,991.84","1,937.67","9.65M","-0.54%"
"Apr 16","1,994.15","1,994.77","2,023.77","1,954.11","7.97M","-0.09%"
"Mar 16","1,995.85","1,944.27","2,009.10","1,935.55","7.75M","4.13%"
"Feb 16","1,916.66","1,919.62","1,929.53","1,817.97","6.19M","0.24%"
"Jan 16","1,912.06","1,954.47","1,954.52","1,830.06","7.30M","-2.51%"
"Dec 15","1,961.31","2,001.51","2,026.33","1,919.22","9.51M","-1.54%"
"Nov 15","1,991.97","2,033.15","2,056.12","1,942.85","9.00M","-1.85%"
"Oct 15","2,029.47","1,963.55","2,064.72","1,958.63","13.19M","3.40%"
"Sep 15","1,962.81","1,934.44","1,996.47","1,868.48","10.05M","1.10%"
"Aug 15","1,941.49","2,026.25","2,038.41","1,800.75","8.37M","-4.37%"
"Jul 15","2,030.16","2,077.27","2,110.81","1,983.78","13.37M","-2.12%"
"Jun 15","2,074.20","2,110.12","2,110.88","2,008.46","9.17M","-1.92%"
"May 15","2,114.80","2,134.51","2,148.70","2,067.99","7.39M","-0.58%"
"Apr 15","2,127.17","2,035.40","2,189.54","2,024.64","11.58M","4.22%"
"Mar 15","2,041.03","1,996.72","2,047.13","1,969.13","8.51M","2.78%"
"Feb 15","1,985.80","1,947.91","1,993.43","1,932.75","5.91M","1.87%"
"Jan 15","1,949.26","1,914.24","1,964.13","1,876.27","6.85M","1.76%"
"Dec 14","1,915.59","1,971.95","1,990.04","1,881.73","6.71M","-3.29%"
"Nov 14","1,980.78","1,959.66","1,994.82","1,923.05","6.30M","0.83%"
"Oct 14","1,964.43","2,013.47","2,013.47","1,896.54","7.39M","-2.76%"
"Sep 14","2,020.09","2,067.80","2,072.59","2,007.30","6.54M","-2.34%"
"Aug 14","2,068.54","2,063.71","2,088.86","2,026.56","6.08M","-0.37%"
"Jul 14","2,076.12","1,993.29","2,093.08","1,985.53","6.98M","3.69%"
"Jun 14","2,002.21","1,998.81","2,016.78","1,965.12","4.60M","0.36%"
"May 14","1,994.96","1,966.29","2,022.59","1,934.72","4.29M","1.69%"
"Apr 14","1,961.79","1,983.78","2,013.09","1,955.15","4.69M","-1.20%"
"Mar 14","1,985.61","1,967.90","1,989.80","1,913.64","4.97M","0.28%"
"Feb 14","1,979.99","1,930.09","1,981.15","1,885.53","4.48M","2.00%"
"Jan 14","1,941.15","2,013.11","2,013.89","1,899.76","5.09M","-3.49%"
"Dec 13","2,011.34","2,050.45","2,052.88","1,947.44","4.60M","-1.64%"
"Nov 13","2,044.87","2,037.25","2,050.70","1,963.42","6.10M","0.73%"
"Oct 13","2,030.09","1,997.62","2,063.28","1,981.21","5.70M","1.66%"
"Sep 13","1,996.96","1,925.32","2,018.02","1,921.01","5.09M","3.66%"
"Aug 13","1,926.36","1,916.56","1,939.28","1,838.52","7.04M","0.64%"
"Jul 13","1,914.03","1,851.57","1,920.60","1,809.72","7.60M","2.72%"
"Jun 13","1,863.32","1,993.11","2,000.56","1,770.53","5.61M","-6.88%"
"May 13","2,001.05","1,961.67","2,013.29","1,935.57","6.59M","1.89%"
"Apr 13","1,963.95","2,009.94","2,010.15","1,888.30","7.69M","-2.04%"
"Mar 13","2,004.89","2,028.55","2,033.89","1,946.05","6.86M","-1.07%"
"Feb 13","2,026.49","1,964.75","2,030.85","1,928.75","7.31M","3.29%"
"Jan 13","1,961.94","2,013.74","2,042.48","1,930.37","10.90M","-1.76%"
"Dec 12","1,997.05","1,937.28","2,006.08","1,928.09","7.15M","3.32%"
